Year,State,State Code,County,County Code,Multiple Cause of death,Multiple Cause of death Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate
2013,Alabama,1,"Cullman County, AL",1043,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,80811,Unreliable
2013,Alabama,1,"DeKalb County, AL",1049,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,71013,Unreliable
2013,Alabama,1,"Etowah County, AL",1055,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,103931,Unreliable
2013,Alabama,1,"Houston County, AL",1069,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,103668,Unreliable
2013,Alabama,1,"Jefferson County, AL",1073,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,659479,4.2
2013,Alabama,1,"Jefferson County, AL",1073,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,659479,Unreliable
2013,Alabama,1,"Jefferson County, AL",1073,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,659479,Unreliable
2013,Alabama,1,"Jefferson County, AL",1073,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,659479,5.5
2013,Alabama,1,"Madison County, AL",1089,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,346892,Unreliable
2013,Alabama,1,"Marshall County, AL",1095,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,94760,Unreliable
2013,Alabama,1,"Mobile County, AL",1097,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,43,414079,10.4
2013,Alabama,1,"Morgan County, AL",1103,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,119787,Unreliable
2013,Alabama,1,"St. Clair County, AL",1115,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,86308,Unreliable
2013,Alabama,1,"Shelby County, AL",1117,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,204180,12.7
2013,Alabama,1,"Talladega County, AL",1121,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,81096,Unreliable
2013,Alabama,1,"Tuscaloosa County, AL",1125,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,200821,12
2013,Alabama,1,"Walker County, AL",1127,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,65998,Unreliable
2013,Alaska,2,"Anchorage Borough, AK",2020,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,300950,Unreliable
2013,Alaska,2,"Anchorage Borough, AK",2020,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,300950,Unreliable
2013,Alaska,2,"Anchorage Borough, AK",2020,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,300950,Unreliable
2013,Arizona,4,"Coconino County, AZ",4005,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,136539,Unreliable
2013,Arizona,4,"Maricopa County, AZ",4013,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,75,4009412,1.9
2013,Arizona,4,"Maricopa County, AZ",4013,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,63,4009412,1.6
2013,Arizona,4,"Maricopa County, AZ",4013,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,16,4009412,Unreliable
2013,Arizona,4,"Maricopa County, AZ",4013,Other opioids,T40.2,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,18,4009412,Unreliable
