,State,State Code,County,County Code,Year,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
0,Alabama,1,"Baldwin County, AL",1003,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,14,200111,Unreliable,3.8,11.7,1.9,Unreliable,3.8,12.1,1.9,0.00%
1,Alabama,1,"Baldwin County, AL",1003,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,11,203709,Unreliable,2.7,9.7,1.6,Unreliable,2.6,9.8,1.7,0.00%
2,Alabama,1,"Baldwin County, AL",1003,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,20,203709,9.8,6.0,15.2,2.2,10.1,6.1,15.8,2.3,0.00%
3,Alabama,1,"Calhoun County, AL",1015,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,17,115916,Unreliable,8.5,23.5,3.6,Unreliable,8.6,23.5,3.6,0.00%
4,Alabama,1,"Calhoun County, AL",1015,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,19,115620,Unreliable,9.9,25.7,3.8,Unreliable,10.8,28.1,4.2,0.00%
5,Alabama,1,"Cullman County, AL",1043,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,14,80811,Unreliable,9.5,29.1,4.6,Unreliable,10.2,31.3,5.1,0.00%
6,Alabama,1,"Cullman County, AL",1043,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,22,81289,27.1,17.0,41.0,5.8,27,16.7,41.3,5.9,0.00%
7,Alabama,1,"DeKalb County, AL",1049,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,16,71013,Unreliable,12.9,36.6,5.6,Unreliable,13.6,38.6,6.0,0.00%
8,Alabama,1,"DeKalb County, AL",1049,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,71130,Unreliable,8.7,29.5,4.9,Unreliable,7.6,27.1,4.5,0.00%
9,Alabama,1,"Etowah County, AL",1055,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,16,103931,Unreliable,8.8,25.0,3.8,Unreliable,8.8,26.0,4.0,0.00%
10,Alabama,1,"Etowah County, AL",1055,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,15,103531,Unreliable,8.1,23.9,3.7,Unreliable,8.6,26.3,4.1,0.00%
11,Alabama,1,"Etowah County, AL",1055,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,22,103057,21.3,13.4,32.3,4.6,23,14.3,35.2,5.0,0.00%
12,Alabama,1,"Houston County, AL",1069,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,103668,Unreliable,6.0,20.2,3.3,Unreliable,5.4,19.4,3.2,0.00%
13,Alabama,1,"Houston County, AL",1069,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,104193,Unreliable,5.3,18.9,3.2,Unreliable,5.9,21.2,3.6,0.00%
14,Alabama,1,"Jefferson County, AL",1073,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,28,659479,4.2,2.8,6.1,0.8,4.2,2.8,6.1,0.8,0.00%
15,Alabama,1,"Jefferson County, AL",1073,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,18,659479,Unreliable,1.6,4.3,0.6,Unreliable,1.6,4.3,0.6,0.00%
16,Alabama,1,"Jefferson County, AL",1073,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,12,659479,Unreliable,0.9,3.2,0.5,Unreliable,1.0,3.4,0.6,0.00%
17,Alabama,1,"Jefferson County, AL",1073,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,36,659479,5.5,3.8,7.6,0.9,5.7,3.9,7.9,1.0,0.00%
18,Alabama,1,"Jefferson County, AL",1073,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,88,660793,13.3,10.7,16.4,1.4,13.8,11.0,17.0,1.5,0.10%
19,Alabama,1,"Jefferson County, AL",1073,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,39,660793,5.9,4.2,8.1,0.9,5.8,4.1,8.0,1.0,0.00%
20,Alabama,1,"Jefferson County, AL",1073,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,17,660793,Unreliable,1.5,4.1,0.6,Unreliable,1.3,3.7,0.6,0.00%
21,Alabama,1,"Jefferson County, AL",1073,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,23,660793,3.5,2.2,5.2,0.7,3.4,2.1,5.1,0.7,0.00%
22,Alabama,1,"Jefferson County, AL",1073,2014,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,36,660793,5.4,3.8,7.5,0.9,5.7,4.0,8.0,1.0,0.00%
23,Alabama,1,"Jefferson County, AL",1073,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,79,660367,12,9.5,14.9,1.3,12.6,9.9,15.8,1.4,0.00%
24,Alabama,1,"Jefferson County, AL",1073,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,25,660367,3.8,2.4,5.6,0.8,3.9,2.5,5.8,0.8,0.00%
25,Alabama,1,"Jefferson County, AL",1073,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,Methadone,T40.3,13,660367,Unreliable,1.0,3.4,0.5,Unreliable,1.1,3.4,0.6,0.00%
26,Alabama,1,"Jefferson County, AL",1073,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,38,660367,5.8,4.1,7.9,0.9,6,4.2,8.2,1.0,0.00%
27,Alabama,1,"Jefferson County, AL",1073,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,51,660367,7.7,5.8,10.2,1.1,8.2,6.1,10.8,1.2,0.00%
28,Alabama,1,"Lee County, AL",1081,2015,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,10,156993,Unreliable,3.1,11.7,2.0,Unreliable,3.6,13.8,2.4,0.00%
29,Alabama,1,"Madison County, AL",1089,2013,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,15,346892,Unreliable,2.4,7.1,1.1,Unreliable,2.4,6.9,1.1,0.00%
