State,State Code,County,County Code,Year,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
Alabama,1,"Baldwin County, AL",1003,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,10,212628,Unreliable,2.3,8.6,1.5,Unreliable,2.5,9.6,1.7,0.00%
Alabama,1,"Baldwin County, AL",1003,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,10,212628,Unreliable,2.3,8.6,1.5,Unreliable,2.6,10,1.7,0.00%
Alabama,1,"Blount County, AL",1009,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,10,58013,Unreliable,8.3,31.7,5.5,Unreliable,9.7,37.2,6.4,0.00%
Alabama,1,"Calhoun County, AL",1015,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,11,114611,Unreliable,4.8,17.2,2.9,Unreliable,4.8,18.6,3.1,0.00%
Alabama,1,"Calhoun County, AL",1015,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,23,114728,20,12.7,30.1,4.2,22.6,14.2,34.2,4.8,0.00%
Alabama,1,"Etowah County, AL",1055,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,12,102564,Unreliable,6,20.4,3.4,Unreliable,5.5,19.6,3.3,0.00%
Alabama,1,"Etowah County, AL",1055,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other opioids,T40.2,15,102755,Unreliable,8.2,24.1,3.8,Unreliable,7.3,22.4,3.5,0.00%
Alabama,1,"Etowah County, AL",1055,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,Other synthetic narcotics,T40.4,15,102755,Unreliable,8.2,24.1,3.8,Unreliable,9.3,27.3,4.3,0.00%
Alabama,1,"Etowah County, AL",1055,2017,Drug poisonings (overdose) Unintentional (X40-X44),D1,"Other and unspecified drugs, medicaments and biological substances",T50.9,28,102755,27.2,18.1,39.4,5.1,26.9,17.7,39.1,5.2,0.00%
Alabama,1,"Jefferson County, AL",1073,2016,Drug poisonings (overdose) Unintentional (X40-X44),D1,Heroin,T40.1,79,659521,12,9.5,14.9,1.3,12.2,9.6,15.3,1.4,0.00%
