state,county,county_FIPS,year,opioid_claim_count,opioid_day_supply,opioid_prescriber_rate,la_opioid_claim_count,la_opioid_day_supply,la_opioid_prescriber_rate
AK,Aleutians East Borough,2013,2013,42.0,787.0,5.96,0.0,0.0,0.0
AK,Aleutians East Borough,2013,2014,83.0,1947.0,5.42,0.0,0.0,0.0
AK,Aleutians East Borough,2013,2015,29.0,624.0,0.5866666666666667,0.0,0.0,0.0
AK,Aleutians East Borough,2013,2016,66.0,1801.0,1.965,0.0,0.0,0.0
AK,Aleutians East Borough,2013,2017,54.0,1186.0,3.06,0.0,0.0,0.0
AK,Aleutians West Census Area,2016,2013,95.0,673.0,2.015185185185185,0.0,0.0,0.0
AK,Aleutians West Census Area,2016,2014,133.0,859.0,13.753809523809524,0.0,0.0,0.0
AK,Aleutians West Census Area,2016,2015,83.0,478.0,13.279047619047619,0.0,0.0,0.0
AK,Aleutians West Census Area,2016,2016,18.0,107.0,1.3823809523809525,0.0,0.0,0.0
AK,Aleutians West Census Area,2016,2017,23.0,62.0,1.7266666666666666,0.0,0.0,0.0
AK,Anchorage Municipality,2020,2013,806625.0,15904926.0,10.693146492922875,129810.0,3494097.0,2.6902558409612523
AK,Anchorage Municipality,2020,2014,963836.0,20451355.0,10.182863944245407,177213.0,4809597.0,2.8931374272279458
AK,Anchorage Municipality,2020,2015,890054.0,19033254.0,9.0572338200813,146798.0,4038337.0,2.5937065646095308
AK,Anchorage Municipality,2020,2016,830933.0,17737516.0,8.182272887114495,130205.0,3629211.0,1.706469736368878
AK,Anchorage Municipality,2020,2017,739716.0,15981602.0,7.5912506089872975,116050.0,3220417.0,1.7794449218415287
AK,Bethel Census Area,2050,2013,1227.0,24146.0,4.034492753623188,133.0,3871.0,1.3668840579710144
AK,Bethel Census Area,2050,2014,1488.0,19798.0,3.395102040816326,54.0,1617.0,0.568843537414966
AK,Bethel Census Area,2050,2015,1404.0,17897.0,2.3305072463768113,169.0,1538.0,0.7294927536231884
AK,Bethel Census Area,2050,2016,1527.0,31331.0,2.421356589147287,111.0,836.0,0.42798449612403106
AK,Bethel Census Area,2050,2017,528.0,6729.0,2.1356976744186045,0.0,0.0,0.0
AK,Bristol Bay Borough,2060,2013,0.0,0.0,0.0,0.0,0.0,0.0
AK,Bristol Bay Borough,2060,2014,0.0,0.0,0.0,0.0,0.0,0.0
AK,Bristol Bay Borough,2060,2016,0.0,0.0,0.0,0.0,0.0,0.0
AK,Bristol Bay Borough,2060,2017,0.0,0.0,0.0,0.0,0.0,0.0
AK,Dillingham Census Area,2070,2013,544.0,13940.0,2.8944444444444444,11.0,330.0,1.053611111111111
AK,Dillingham Census Area,2070,2014,541.0,12995.0,3.132777777777777,11.0,372.0,0.33944444444444444
AK,Dillingham Census Area,2070,2015,395.0,9436.0,3.101470588235294,0.0,0.0,0.0
AK,Dillingham Census Area,2070,2016,412.0,9812.0,6.030625,17.0,468.0,0.975
AK,Dillingham Census Area,2070,2017,243.0,5499.0,6.085999999999999,0.0,0.0,0.0
AK,Fairbanks North Star Borough,2090,2013,69665.0,1462696.0,9.116727272727275,12008.0,348592.0,2.7782959001782532
AK,Fairbanks North Star Borough,2090,2014,62270.0,1285349.0,9.870269222840655,10168.0,303944.0,2.83321706864564
AK,Fairbanks North Star Borough,2090,2015,65471.0,1387242.0,9.722656565656564,10848.0,307848.0,3.2426889585510263
AK,Fairbanks North Star Borough,2090,2016,57213.0,1197372.0,8.407085476276713,8339.0,228595.0,2.8924867801521192
AK,Fairbanks North Star Borough,2090,2017,49090.0,1061636.0,5.213390095909179,7088.0,198354.0,2.3316927347461696
AK,Haines Borough,2100,2013,254.0,5898.0,7.855999999999999,74.0,1991.0,34.284000000000006
AK,Haines Borough,2100,2014,207.0,4667.0,9.711428571428572,11.0,404.0,4.621428571428572
AK,Haines Borough,2100,2015,229.0,4724.0,9.294285714285715,11.0,941.0,5.238571428571428
AK,Haines Borough,2100,2016,169.0,2522.0,8.461428571428572,0.0,0.0,0.0
AK,Haines Borough,2100,2017,40.0,687.0,1.4000000000000001,0.0,0.0,0.0
AK,Hoonah-Angoon Census Area,2105,2013,0.0,0.0,0.0,0.0,0.0,0.0
AK,Hoonah-Angoon Census Area,2105,2014,18.0,840.0,7.085,0.0,0.0,0.0
AK,Hoonah-Angoon Census Area,2105,2015,72.0,2328.0,8.79,12.0,360.0,5.3575
AK,Hoonah-Angoon Census Area,2105,2016,30.0,1042.0,6.935,0.0,0.0,0.0
AK,Hoonah-Angoon Census Area,2105,2017,119.0,3457.0,17.24,13.0,390.0,7.305
AK,Juneau City and Borough,2110,2013,6856.0,135190.0,10.855660377358495,1108.0,30774.0,4.780849056603773
AK,Juneau City and Borough,2110,2014,5952.0,122864.0,9.00632075471698,1098.0,30646.0,4.644056603773584
AK,Juneau City and Borough,2110,2015,5068.0,104816.0,8.174862385321102,934.0,26062.0,4.501009174311927
AK,Juneau City and Borough,2110,2016,4956.0,99340.0,10.211081081081081,854.0,25698.0,4.072702702702702
AK,Juneau City and Borough,2110,2017,3878.0,81080.0,7.459813084112152,752.0,21804.0,4.250747663551401
AK,Kenai Peninsula Borough,2122,2013,12025.0,296785.0,9.140204053312576,3072.0,89312.0,10.482131051577174
AK,Kenai Peninsula Borough,2122,2014,12314.0,301382.0,14.840309041892503,2871.0,83341.0,9.721112099141825
AK,Kenai Peninsula Borough,2122,2015,13056.0,322298.0,8.917790319683908,3284.0,94414.0,6.55430019755747
AK,Kenai Peninsula Borough,2122,2016,10377.0,258749.0,9.20811916997982,2506.0,73527.0,7.296056124062529
AK,Kenai Peninsula Borough,2122,2017,10488.0,264131.0,4.585782443189707,2586.0,73509.0,2.6046211586522885
AK,Ketchikan Gateway Borough,2130,2013,2459.0,52274.0,12.449318181818184,561.0,14697.0,8.726363636363637
AK,Ketchikan Gateway Borough,2130,2014,2334.0,53395.0,12.197380952380954,525.0,15028.0,8.23166666666667
AK,Ketchikan Gateway Borough,2130,2015,2324.0,51046.0,8.942916666666667,554.0,15850.0,8.157083333333333
AK,Ketchikan Gateway Borough,2130,2016,2189.0,51467.0,6.63962962962963,505.0,14433.0,5.659444444444444
AK,Ketchikan Gateway Borough,2130,2017,2439.0,56097.0,9.13140350877193,441.0,12412.0,5.340175438596491
AK,Kodiak Island Borough,2150,2013,612.0,13054.0,7.204285714285714,104.0,2963.0,5.7374285714285715
AK,Kodiak Island Borough,2150,2014,635.0,13671.0,4.866944444444444,101.0,2755.0,3.520277777777778
AK,Kodiak Island Borough,2150,2015,588.0,10987.0,9.100909090909092,74.0,1936.0,4.556969696969697
AK,Kodiak Island Borough,2150,2016,423.0,7878.0,5.27657894736842,70.0,1857.0,3.2402631578947365
AK,Kodiak Island Borough,2150,2017,394.0,8128.0,3.3405,44.0,1269.0,1.62825
AK,Lake and Peninsula Borough,2164,2013,0.0,0.0,0.0,0.0,0.0,0.0
AK,Lake and Peninsula Borough,2164,2014,0.0,0.0,0.0,0.0,0.0,0.0
AK,Lake and Peninsula Borough,2164,2015,0.0,0.0,0.0,0.0,0.0,0.0
AK,Lake and Peninsula Borough,2164,2016,0.0,0.0,0.0,0.0,0.0,0.0
AK,Lake and Peninsula Borough,2164,2017,0.0,0.0,0.0,0.0,0.0,0.0
AK,Matanuska-Susitna Borough,2170,2013,26443.0,605321.0,13.626921347803336,5503.0,146764.0,9.840837348986415
AK,Matanuska-Susitna Borough,2170,2014,29620.0,704655.0,7.8299769367696,6690.0,183724.0,5.540556535871836
AK,Matanuska-Susitna Borough,2170,2015,30649.0,760913.0,8.474810356391222,7721.0,216300.0,4.872878362126784
AK,Matanuska-Susitna Borough,2170,2016,28512.0,719820.0,5.710518292682926,7174.0,203185.0,1.9853314571607252
AK,Matanuska-Susitna Borough,2170,2017,25845.0,647744.0,6.0885613383767625,6075.0,169169.0,1.912754856635846
AK,Nome Census Area,2180,2013,332.0,7241.0,1.9917500000000001,70.0,1731.0,1.5230000000000001
AK,Nome Census Area,2180,2014,349.0,8773.0,2.704772727272727,19.0,540.0,0.3629545454545455
AK,Nome Census Area,2180,2015,439.0,11013.0,2.6368750000000003,47.0,1289.0,0.7464583333333333
AK,Nome Census Area,2180,2016,763.0,18992.0,5.704761904761905,85.0,2258.0,3.3442857142857143
AK,Nome Census Area,2180,2017,357.0,8667.0,1.6627272727272726,31.0,812.0,0.3261363636363636
AK,North Slope Borough,2185,2013,23.0,331.0,3.645,0.0,0.0,0.0
AK,North Slope Borough,2185,2014,31.0,758.0,3.751666666666667,0.0,0.0,0.0
AK,North Slope Borough,2185,2015,17.0,389.0,0.48,0.0,0.0,0.0
AK,North Slope Borough,2185,2016,65.0,1740.0,0.643,0.0,0.0,0.0
AK,North Slope Borough,2185,2017,0.0,0.0,0.0,0.0,0.0,0.0
AK,Northwest Arctic Borough,2188,2013,1292.0,31639.0,8.981153846153846,181.0,5395.0,1.4726923076923077
AK,Northwest Arctic Borough,2188,2014,1219.0,32366.0,5.4592307692307696,247.0,7298.0,5.071153846153847
AK,Northwest Arctic Borough,2188,2015,370.0,7791.0,3.8796000000000004,54.0,1491.0,3.5456
AK,Northwest Arctic Borough,2188,2016,267.0,5645.0,2.361904761904762,20.0,580.0,0.9157142857142857
AK,Northwest Arctic Borough,2188,2017,468.0,10608.0,2.4095652173913042,33.0,836.0,1.2352173913043476
AK,Petersburg Census Area,2195,2013,260.0,6628.0,8.736666666666666,87.0,2738.0,19.426666666666666
AK,Petersburg Census Area,2195,2014,319.0,7961.0,15.27,63.0,2243.0,13.504999999999999
AK,Petersburg Census Area,2195,2015,301.0,7599.0,22.26625,68.0,2146.0,13.34375
AK,Petersburg Census Area,2195,2016,198.0,5919.0,3.726,61.0,1920.0,8.044
AK,Petersburg Census Area,2195,2017,204.0,6106.0,3.8937500000000003,50.0,1873.0,7.52125
AK,Prince of Wales-Hyder Census Area,2198,2013,928.0,24584.0,4.568142857142857,204.0,6017.0,4.788857142857142
AK,Prince of Wales-Hyder Census Area,2198,2014,969.0,23501.0,6.031333333333333,183.0,5440.0,5.904833333333333
AK,Prince of Wales-Hyder Census Area,2198,2015,853.0,22562.0,9.7304,163.0,4867.0,5.6716
AK,Prince of Wales-Hyder Census Area,2198,2016,871.0,21540.0,8.853285714285713,173.0,5030.0,5.394333333333334
AK,Prince of Wales-Hyder Census Area,2198,2017,522.0,9387.0,9.251333333333333,75.0,2066.0,8.6745
AK,Sitka City and Borough,2220,2013,1241.0,32351.0,4.941666666666667,271.0,8062.0,7.451944444444444
AK,Sitka City and Borough,2220,2014,1073.0,28796.0,4.904285714285715,244.0,6695.0,7.808857142857141
AK,Sitka City and Borough,2220,2015,878.0,24079.0,3.5272727272727273,183.0,5157.0,5.8124242424242425
AK,Sitka City and Borough,2220,2016,941.0,25294.0,3.49,192.0,5957.0,4.051764705882353
AK,Sitka City and Borough,2220,2017,1032.0,28511.0,4.629705882352941,232.0,7483.0,5.322352941176471
AK,Skagway Municipality,2230,2013,15.0,441.0,3.2466666666666666,0.0,0.0,0.0
AK,Skagway Municipality,2230,2014,29.0,1292.0,3.59,0.0,0.0,0.0
AK,Skagway Municipality,2230,2015,0.0,0.0,0.0,0.0,0.0,0.0
AK,Skagway Municipality,2230,2016,0.0,0.0,0.0,0.0,0.0,0.0
AK,Skagway Municipality,2230,2017,20.0,565.0,1.77,0.0,0.0,0.0
AK,Southeast Fairbanks Census Area,2240,2013,739.0,15523.0,12.645,84.0,2119.0,8.557500000000001
AK,Southeast Fairbanks Census Area,2240,2014,1276.0,29415.0,13.033,190.0,4537.0,10.311
AK,Southeast Fairbanks Census Area,2240,2015,489.0,12260.0,5.767,99.0,2635.0,7.3805000000000005
AK,Southeast Fairbanks Census Area,2240,2016,549.0,14298.0,5.7013333333333325,136.0,3454.0,7.266333333333334
AK,Southeast Fairbanks Census Area,2240,2017,379.0,12138.0,4.700833333333333,54.0,1806.0,1.6366666666666667
AK,Valdez-Cordova Census Area,2261,2013,733.0,17405.0,4.125166666666667,194.0,5513.0,4.231249999999999
AK,Valdez-Cordova Census Area,2261,2014,709.0,17662.0,6.3451249999999995,142.0,4116.0,1.6510000000000002
AK,Valdez-Cordova Census Area,2261,2015,714.0,16089.0,4.571833333333333,137.0,4016.0,1.1276666666666666
AK,Valdez-Cordova Census Area,2261,2016,859.0,20901.0,3.0770857142857144,175.0,5068.0,2.3915428571428574
AK,Valdez-Cordova Census Area,2261,2017,934.0,24078.0,5.677714285714285,188.0,5562.0,2.151619047619047
AK,Wrangell City and Borough,2275,2013,436.0,11674.0,4.932857142857143,86.0,2559.0,9.598571428571429
AK,Wrangell City and Borough,2275,2014,427.0,10873.0,5.145,71.0,2087.0,7.888750000000001
AK,Wrangell City and Borough,2275,2015,426.0,11692.0,10.98625,77.0,2622.0,6.65125
AK,Wrangell City and Borough,2275,2016,442.0,12658.0,13.249999999999998,79.0,3087.0,10.938571428571427
AK,Wrangell City and Borough,2275,2017,316.0,9873.0,5.207142857142857,50.0,2169.0,10.860000000000001
AK,Yakutat City and Borough,2282,2013,0.0,0.0,0.0,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2013,16.0,347.0,0.5016666666666666,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2014,51.0,397.0,4.024166666666667,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2015,47.0,400.0,3.24375,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2016,0.0,0.0,0.0,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2017,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga County,1001,2013,102247.0,2389540.0,10.02876610936956,12510.0,354781.0,2.677587077673285
AL,Autauga County,1001,2014,100022.0,2379535.0,9.604152961980546,13105.0,376060.0,3.0169398762157376
AL,Autauga County,1001,2015,82480.0,1950931.0,9.779026555881392,12280.0,350713.0,2.6896757901596615
AL,Autauga County,1001,2016,103872.0,2606539.0,8.978937275985663,17548.0,514614.0,2.395407962109575
AL,Autauga County,1001,2017,101264.0,2584316.0,6.582216624034312,16273.0,480013.0,1.6365731984600678
AL,Baldwin County,1003,2013,160797.0,3657230.0,11.872422793386852,19704.0,574028.0,2.544325054931936
AL,Baldwin County,1003,2014,156034.0,3635961.0,11.863283951661508,18773.0,547333.0,2.7621691358028073
AL,Baldwin County,1003,2015,156884.0,3766679.0,10.295432594562108,19341.0,566348.0,1.7523136206899443
AL,Baldwin County,1003,2016,156515.0,3785238.0,10.872475881092242,19421.0,568664.0,1.7050628184928758
AL,Baldwin County,1003,2017,141437.0,3360305.0,8.80529677916016,14290.0,420383.0,1.261563460624584
AL,Barbour County,1005,2013,17400.0,407601.0,10.623462962962964,1072.0,30268.0,1.147962962962963
AL,Barbour County,1005,2014,15132.0,358549.0,7.775732758620691,876.0,24370.0,0.8667241379310344
